space,config,algorithm,cluster_count,noise_count,noise_fraction,coverage,smallest_cluster,largest_cluster,silhouette_original_cosine,eps,min_samples,min_cluster_size,selected
umap,dbscan_eps0.4014_ms8,dbscan,9,124,0.4397163120567376,0.5602836879432624,9,42,0.14626288414001465,0.401412,8.0,,False
umap,dbscan_eps0.4216_ms8,dbscan,9,121,0.42907801418439717,0.5709219858156028,9,42,0.14158256351947784,0.421631,8.0,,False
umap,dbscan_eps0.4327_ms8,dbscan,9,115,0.4078014184397163,0.5921985815602837,9,42,0.13783486187458038,0.432738,8.0,,False
umap,dbscan_eps0.4388_ms8,dbscan,10,105,0.3723404255319149,0.6276595744680851,8,42,0.12797899544239044,0.438806,8.0,,False
umap,dbscan_eps0.4567_ms8,dbscan,12,81,0.2872340425531915,0.7127659574468085,8,44,0.10733377933502197,0.456743,8.0,,False
umap,dbscan_eps0.4748_ms8,dbscan,12,74,0.2624113475177305,0.7375886524822695,8,45,0.10627683252096176,0.474802,8.0,,False
umap,dbscan_eps0.4873_ms8,dbscan,12,73,0.25886524822695034,0.7411347517730497,8,45,0.10534155368804932,0.48729,8.0,,False
umap,dbscan_eps0.5018_ms8,dbscan,13,55,0.1950354609929078,0.8049645390070922,8,45,0.08948062360286713,0.50176,8.0,,False
umap,dbscan_eps0.5083_ms8,dbscan,12,55,0.1950354609929078,0.8049645390070922,8,45,0.08783040195703506,0.508261,8.0,,False
umap,dbscan_eps0.5167_ms8,dbscan,12,49,0.17375886524822695,0.8262411347517731,8,45,0.07953585684299469,0.516709,8.0,,False
umap,dbscan_eps0.5374_ms8,dbscan,11,37,0.13120567375886524,0.8687943262411347,8,64,0.049610476940870285,0.537398,8.0,,False
umap,dbscan_eps0.5510_ms8,dbscan,12,16,0.05673758865248227,0.9432624113475178,6,66,0.005713135935366154,0.551026,8.0,,False
umap,dbscan_eps0.5609_ms8,dbscan,11,13,0.04609929078014184,0.9539007092198581,6,66,0.05251268669962883,0.560871,8.0,,False
umap,dbscan_eps0.5700_ms8,dbscan,11,6,0.02127659574468085,0.9787234042553191,6,72,0.05013059452176094,0.569994,8.0,,False
umap,dbscan_eps0.5758_ms8,dbscan,10,5,0.01773049645390071,0.9822695035460993,6,94,0.0383371002972126,0.575822,8.0,,False
umap,dbscan_eps0.5922_ms8,dbscan,8,3,0.010638297872340425,0.9893617021276596,6,173,0.012393366545438766,0.592238,8.0,,False
umap,dbscan_eps0.5996_ms8,dbscan,7,3,0.010638297872340425,0.9893617021276596,8,179,0.005037735681980848,0.599551,8.0,,False
umap,dbscan_eps0.6066_ms8,dbscan,7,3,0.010638297872340425,0.9893617021276596,8,179,0.005037735681980848,0.606596,8.0,,False
umap,dbscan_eps0.6157_ms8,dbscan,7,2,0.0070921985815602835,0.9929078014184397,8,181,0.004551951307803392,0.615655,8.0,,False
umap,dbscan_eps0.6290_ms8,dbscan,5,2,0.0070921985815602835,0.9929078014184397,9,195,-0.010406606830656528,0.629009,8.0,,False
umap,dbscan_eps0.6427_ms8,dbscan,5,2,0.0070921985815602835,0.9929078014184397,9,195,-0.010406606830656528,0.642653,8.0,,False
umap,dbscan_eps0.6591_ms8,dbscan,4,2,0.0070921985815602835,0.9929078014184397,9,205,-0.01629430055618286,0.659121,8.0,,False
umap,dbscan_eps0.6706_ms8,dbscan,3,2,0.0070921985815602835,0.9929078014184397,13,214,-0.029193434864282608,0.670645,8.0,,False
umap,dbscan_eps0.4126_ms10,dbscan,5,167,0.5921985815602837,0.4078014184397163,11,41,0.16993606090545654,0.412615,10.0,,False
umap,dbscan_eps0.4267_ms10,dbscan,6,156,0.5531914893617021,0.44680851063829785,10,42,0.15897144377231598,0.42674,10.0,,False
umap,dbscan_eps0.4373_ms10,dbscan,7,141,0.5,0.5,10,42,0.14392530918121338,0.437273,10.0,,False
umap,dbscan_eps0.4555_ms10,dbscan,8,129,0.4574468085106383,0.5425531914893617,10,42,0.13619357347488403,0.455471,10.0,,False
umap,dbscan_eps0.4661_ms10,dbscan,8,125,0.4432624113475177,0.5567375886524822,10,42,0.130309596657753,0.466127,10.0,,False
umap,dbscan_eps0.4826_ms10,dbscan,8,113,0.40070921985815605,0.599290780141844,10,44,0.11257726699113846,0.482646,10.0,,False
umap,dbscan_eps0.4910_ms10,dbscan,10,90,0.3191489361702128,0.6808510638297872,10,47,0.1011110320687294,0.490965,10.0,,False
umap,dbscan_eps0.5093_ms10,dbscan,10,88,0.3120567375886525,0.6879432624113475,10,47,0.09954037517309189,0.509311,10.0,,False
umap,dbscan_eps0.5301_ms10,dbscan,12,66,0.23404255319148937,0.7659574468085106,9,47,0.08121587336063385,0.53014,10.0,,False
