space,algorithm,config,n_components,n_neighbors,min_cluster_size,min_samples,cluster_count,noise_count,noise_fraction,coverage,smallest_cluster,largest_cluster,silhouette_original_cosine,ari_vs_zhicheng_shared,is_zhicheng_shared
umap5,hdbscan,nn5_hdbscan_mcs20_ms5,5,5,20,5,8,127,0.2778993435448578,0.7221006564551422,21,81,0.027315128594636917,0.27931292967680243,False
umap5,hdbscan,nn5_hdbscan_mcs20_ms8,5,5,20,8,7,98,0.21444201312910285,0.7855579868708972,20,96,0.0369766429066658,0.2790140163912784,False
umap5,hdbscan,nn5_hdbscan_mcs20_ms10,5,5,20,10,6,142,0.31072210065645517,0.6892778993435449,22,92,0.05639225244522095,0.22236720125011533,False
umap5,hdbscan,nn10_hdbscan_mcs5_ms1,5,10,5,1,34,53,0.11597374179431072,0.8840262582056893,5,33,0.05662543326616287,0.48277783047774264,False
umap5,hdbscan,nn10_hdbscan_mcs5_ms3,5,10,5,3,31,73,0.15973741794310722,0.8402625820568927,5,32,0.060915153473615646,0.45891364944434754,False
umap5,hdbscan,nn10_hdbscan_mcs5_ms5,5,10,5,5,21,74,0.16192560175054704,0.838074398249453,5,98,0.06520041078329086,0.436398806529718,False
umap5,hdbscan,nn10_hdbscan_mcs8_ms1,5,10,8,1,18,50,0.10940919037199125,0.8905908096280087,9,113,0.06292087584733963,0.43563009939344144,False
umap5,hdbscan,nn10_hdbscan_mcs8_ms3,5,10,8,3,18,63,0.13785557986870897,0.862144420131291,9,111,0.06396917998790741,0.41158885157264147,False
umap5,hdbscan,nn10_hdbscan_mcs8_ms5,5,10,8,5,16,76,0.16630196936542668,0.8336980306345733,10,98,0.07190075516700745,0.4514042092456231,False
umap5,hdbscan,nn10_hdbscan_mcs8_ms8,5,10,8,8,15,96,0.2100656455142232,0.7899343544857768,8,92,0.07573030889034271,0.3843708608222478,False
umap5,hdbscan,nn10_hdbscan_mcs10_ms1,5,10,10,1,20,80,0.175054704595186,0.824945295404814,11,36,0.07307755947113037,0.5162597834577407,False
umap5,hdbscan,nn10_hdbscan_mcs10_ms3,5,10,10,3,15,50,0.10940919037199125,0.8905908096280087,11,111,0.05584629625082016,0.4055780624456448,False
umap5,hdbscan,nn10_hdbscan_mcs10_ms5,5,10,10,5,16,76,0.16630196936542668,0.8336980306345733,10,98,0.07190075516700745,0.4514042092456231,False
umap5,hdbscan,nn10_hdbscan_mcs10_ms8,5,10,10,8,14,91,0.19912472647702406,0.8008752735229759,11,92,0.07212222367525101,0.3925215216431646,False
umap5,hdbscan,nn10_hdbscan_mcs10_ms10,5,10,10,10,14,97,0.212253829321663,0.787746170678337,10,90,0.075077123939991,0.3831054274539927,False
umap5,hdbscan,nn10_hdbscan_mcs12_ms1,5,10,12,1,14,54,0.11816192560175055,0.8818380743982495,12,113,0.048267412930727005,0.3965038640028072,False
umap5,hdbscan,nn10_hdbscan_mcs12_ms3,5,10,12,3,14,61,0.13347921225382933,0.8665207877461707,12,111,0.05060182139277458,0.38971386300768657,False
umap5,hdbscan,nn10_hdbscan_mcs12_ms5,5,10,12,5,14,97,0.212253829321663,0.787746170678337,12,98,0.06499212980270386,0.4020873772329987,False
umap5,hdbscan,nn10_hdbscan_mcs12_ms8,5,10,12,8,12,113,0.24726477024070023,0.7527352297592997,12,92,0.06480246037244797,0.340891273488028,False
umap5,hdbscan,nn10_hdbscan_mcs12_ms10,5,10,12,10,10,101,0.2210065645514223,0.7789934354485777,12,130,0.050813090056180954,0.2907603404831261,False
umap5,hdbscan,nn10_hdbscan_mcs15_ms1,5,10,15,1,11,91,0.19912472647702406,0.8008752735229759,16,113,0.041657838970422745,0.3349714303728869,False
umap5,hdbscan,nn10_hdbscan_mcs15_ms3,5,10,15,3,11,98,0.21444201312910285,0.7855579868708972,16,111,0.042591143399477005,0.3236670365301419,False
umap5,hdbscan,nn10_hdbscan_mcs15_ms5,5,10,15,5,9,128,0.2800875273522976,0.7199124726477024,15,98,0.06344058364629745,0.31549454292271156,False
