space,config,algorithm,cluster_count,noise_count,noise_fraction,coverage,smallest_cluster,largest_cluster,silhouette_original_cosine,eps,min_samples,min_cluster_size,selected
raw,dbscan_eps0.180757_ms10,dbscan,1,178,0.38949671772428884,0.6105032822757112,279,279,,0.180757,10.0,,False
raw,dbscan_eps0.182477_ms10,dbscan,1,174,0.38074398249452956,0.6192560175054704,283,283,,0.182477,10.0,,False
raw,dbscan_eps0.184726_ms10,dbscan,1,165,0.3610503282275711,0.6389496717724289,292,292,,0.184726,10.0,,False
raw,dbscan_eps0.186925_ms10,dbscan,1,158,0.34573304157549234,0.6542669584245077,299,299,,0.186925,10.0,,False
raw,dbscan_eps0.190834_ms10,dbscan,1,143,0.31291028446389496,0.687089715536105,314,314,,0.190834,10.0,,False
raw,dbscan_eps0.193989_ms10,dbscan,1,134,0.29321663019693656,0.7067833698030634,323,323,,0.193989,10.0,,False
raw,dbscan_eps0.198238_ms10,dbscan,1,112,0.24507658643326038,0.7549234135667396,345,345,,0.198238,10.0,,False
raw,dbscan_eps0.201524_ms10,dbscan,1,100,0.2188183807439825,0.7811816192560175,357,357,,0.201524,10.0,,False
raw,dbscan_eps0.205141_ms10,dbscan,1,94,0.20568927789934355,0.7943107221006565,363,363,,0.205141,10.0,,False
raw,dbscan_eps0.210340_ms10,dbscan,1,81,0.1772428884026258,0.8227571115973742,376,376,,0.21034,10.0,,False
raw,dbscan_eps0.213229_ms10,dbscan,1,72,0.1575492341356674,0.8424507658643327,385,385,,0.213229,10.0,,False
raw,dbscan_eps0.216029_ms10,dbscan,1,63,0.13785557986870897,0.862144420131291,394,394,,0.216029,10.0,,False
raw,dbscan_eps0.220999_ms10,dbscan,1,51,0.11159737417943107,0.888402625820569,406,406,,0.220999,10.0,,False
raw,dbscan_eps0.223081_ms10,dbscan,1,43,0.09409190371991247,0.9059080962800875,414,414,,0.223081,10.0,,False
raw,dbscan_eps0.226561_ms10,dbscan,1,37,0.08096280087527352,0.9190371991247265,420,420,,0.226561,10.0,,False
raw,dbscan_eps0.228757_ms10,dbscan,1,34,0.07439824945295405,0.925601750547046,423,423,,0.228757,10.0,,False
raw,dbscan_eps0.232605_ms10,dbscan,1,27,0.05908096280087528,0.9409190371991247,430,430,,0.232605,10.0,,False
raw,dbscan_eps0.235281_ms10,dbscan,1,24,0.0525164113785558,0.9474835886214442,433,433,,0.235281,10.0,,False
raw,dbscan_eps0.238031_ms10,dbscan,1,18,0.03938730853391685,0.9606126914660832,439,439,,0.238031,10.0,,False
raw,dbscan_eps0.243243_ms10,dbscan,1,17,0.037199124726477024,0.962800875273523,440,440,,0.243243,10.0,,False
raw,dbscan_eps0.250054_ms10,dbscan,1,15,0.03282275711159737,0.9671772428884027,442,442,,0.250054,10.0,,False
raw,dbscan_eps0.255335_ms10,dbscan,1,13,0.028446389496717725,0.9715536105032823,444,444,,0.255335,10.0,,False
