keyword,paper_count,config,k,elbow_estimated_k,smallest_cluster,largest_cluster,silhouette_cosine,cohesion_ratio,within_cosine_mean,global_cosine_mean,within_pair_count,permutation_rho_mean,permutation_rho_sd,permutation_adjusted_z_rho,permutation_p_greater_equal,bootstrap_pairwise_ari_mean,bootstrap_pairwise_ari_min,bootstrap_pairwise_ari_sd,bootstrap_reference_ari_mean,bootstrap_reference_ari_min,bootstrap_reference_ari_sd,passes_numeric_rule
Design knowledge,68,spectral_knn10_k6,6,3,7,23,0.0468878410756588,1.0383369942830407,0.7918193340301514,0.7625841498374939,450,1.000018026207361,0.005101717747335899,7.510993350365127,0.000999000999000999,0.42900862035028253,0.06806421124674544,0.1272212042860594,0.3984055948761291,0.19924901684802176,0.09832130415386103,False
Design methods,27,spectral_knn10_k2,2,3,10,17,0.09430036693811417,1.0184930614934953,0.7696782946586609,0.7557030320167542,181,1.0000799736216786,0.0048880552631993136,3.7669557483204583,0.001998001998001998,0.37913362657459965,-0.13677811550151975,0.3291364542611871,0.42309633700906774,-0.10951008645533142,0.35805941441993944,False
Design methods,27,spectral_knn10_k3,3,3,4,17,0.07918945699930191,1.032458491253722,0.7802320122718811,0.7557030320167542,157,1.0000003565853088,0.009526862588431688,3.407011948280493,0.002997002997002997,0.32925983366048306,-0.19754977029096477,0.25557795754671675,0.3671151496588953,-0.037813552976413325,0.21732948621375275,False
Design methods,27,spectral_knn10_k4,4,3,3,11,0.06978309899568558,1.0442481275327633,0.7891414761543274,0.7557030320167542,100,0.9997391544156359,0.007908485933722323,5.628001805925725,0.000999000999000999,0.3477428298623122,-0.09707666850523994,0.2067662305257191,0.34192544774460354,0.05714285714285714,0.157472370700789,False
Design methods,27,spectral_knn10_k5,5,3,2,13,0.0445498451590538,1.0397246760740722,0.785723090171814,0.7557030320167542,97,0.9999884395689649,0.012577052391707031,3.159423628648337,0.000999000999000999,0.4033082454516261,-0.07856257744733582,0.19686737801081758,0.33359915863914763,0.020479971129556115,0.14769724756601205,False
Design principles,15,spectral_knn10_k2,2,2,5,10,0.08062834292650223,1.0148670890931615,0.7261781096458435,0.7155401110649109,55,1.0002714590723971,0.005953285131468772,2.451693426140902,0.002997002997002997,0.2512661026852333,-0.16883116883116883,0.3764471861623008,0.20543388788241435,-0.142433234421365,0.3244982073267769,False
Design principles,15,spectral_knn10_k3,3,2,2,8,0.06484360992908478,1.0288821835918402,0.7362064719200134,0.7155401110649109,39,1.0000354640667448,0.007777560108919252,3.7089677380974804,0.000999000999000999,0.2779529667025948,-0.2545454545454545,0.30686894538710163,0.30689911358740163,-0.01440922190201729,0.18018056153897782,False
Design principles,15,spectral_knn10_k4,4,2,2,5,0.024723416194319725,1.0307315316552061,0.7375297546386719,0.7155401110649109,23,1.0001719610478201,0.008130182688526656,3.7587803101290445,0.001998001998001998,0.2138449251372196,-0.3018867924528302,0.2429540811346254,0.24429085718346896,-0.1039426523297491,0.21105404789265528,False
Design principles,15,spectral_knn10_k5,5,2,2,5,0.0059583066031336784,1.0413861288982522,0.745153546333313,0.7155401110649109,18,1.0002872622893015,0.01091947826402975,3.7638123008437088,0.000999000999000999,0.14603394255984606,-0.27611940298507465,0.2125244843793868,0.1408160733490816,-0.22033898305084745,0.1444538122457093,False
Design rationale,14,spectral_knn10_k2,2,2,2,12,0.2415536493062973,1.0175701720771133,0.8594260215759277,0.8445864915847778,67,1.0001888333012228,0.007532164268010939,2.307615468466214,0.022977022977022976,0.37785919731203105,-0.16883116883116883,0.48160071028165496,0.1865633076962117,-0.11864406779661017,0.23814027433570034,False
Design rationale,14,spectral_knn10_k3,3,2,2,10,0.20128454267978668,1.0379703750438432,0.8766557574272156,0.8445864915847778,47,0.9999429818042727,0.011121113131154972,3.4193873213140487,0.001998001998001998,0.40495866442698086,-0.3333333333333333,0.434518126496385,0.46761126644435974,-0.13989637305699482,0.2909227290028423,False
Design rationale,14,spectral_knn10_k4,4,2,1,11,0.15967264771461487,1.0306328907289024,0.8704586172926014,0.8445864915847778,58,0.999792782169055,0.01043400746243022,2.95572996961077,0.008991008991008992,0.13387904604763842,-0.4,0.23975838625673915,0.2453271746958303,-0.15485564304461943,0.2165127348264432,False
