paper_id,keyword,chunk_index,chunk_type,characters,words
17ad371dac5e,Design Heuristics,3,title_pdf_passage,415,54
17ad371dac5e,Design Heuristics,4,title_pdf_passage,458,61
17ad371dac5e,Design Heuristics,5,title_pdf_passage,620,79
17ad371dac5e,Design Heuristics,6,title_pdf_passage,661,80
17ad371dac5e,Design Heuristics,7,title_pdf_passage,643,83
17ad371dac5e,Design Heuristics,8,title_pdf_passage,529,68
17ad371dac5e,Design Heuristics,9,title_pdf_passage,664,85
17ad371dac5e,Design Heuristics,10,title_pdf_passage,547,64
17ad371dac5e,Design Heuristics,11,title_pdf_passage,691,84
17ad371dac5e,Design Heuristics,12,title_pdf_passage,710,88
1826e718712a,Design knowledge,0,title_abstract,1095,147
1826e718712a,Design knowledge,1,title_pdf_passage,609,69
1826e718712a,Design knowledge,2,title_pdf_passage,470,60
1826e718712a,Design knowledge,3,title_pdf_passage,1000,138
1826e718712a,Design knowledge,4,title_pdf_passage,947,131
1826e718712a,Design knowledge,5,title_pdf_passage,1201,167
1826e718712a,Design knowledge,6,title_pdf_passage,745,108
1826e718712a,Design knowledge,7,title_pdf_passage,1007,146
1826e718712a,Design knowledge,8,title_pdf_passage,659,97
1826e718712a,Design knowledge,9,title_pdf_passage,1044,129
1826e718712a,Design knowledge,10,title_pdf_passage,902,124
1826e718712a,Design knowledge,11,title_pdf_passage,1014,125
1826e718712a,Design knowledge,12,title_pdf_passage,718,89
1a3361a5f828,Design Patterns,0,title_abstract,1095,151
1a3361a5f828,Design Patterns,1,title_pdf_passage,499,63
1a3361a5f828,Design Patterns,2,title_pdf_passage,1079,154
1a3361a5f828,Design Patterns,3,title_pdf_passage,744,108
1a3361a5f828,Design Patterns,4,title_pdf_passage,995,158
1a3361a5f828,Design Patterns,5,title_pdf_passage,750,110
1a3361a5f828,Design Patterns,6,title_pdf_passage,1269,188
1a3361a5f828,Design Patterns,7,title_pdf_passage,1114,151
1a3361a5f828,Design Patterns,8,title_pdf_passage,846,123
1a3361a5f828,Design Patterns,9,title_pdf_passage,1033,150
1a3361a5f828,Design Patterns,10,title_pdf_passage,595,95
1a3361a5f828,Design Patterns,11,title_pdf_passage,941,141
1a3361a5f828,Design Patterns,12,title_pdf_passage,910,137
1aecb7940a63,Design rationale,0,title_abstract,834,125
1aecb7940a63,Design rationale,1,title_pdf_passage,1067,126
1aecb7940a63,Design rationale,2,title_pdf_passage,1013,139
1aecb7940a63,Design rationale,3,title_pdf_passage,866,127
1aecb7940a63,Design rationale,4,title_pdf_passage,535,83
1aecb7940a63,Design rationale,5,title_pdf_passage,985,154
1aecb7940a63,Design rationale,6,title_pdf_passage,919,139
1aecb7940a63,Design rationale,7,title_pdf_passage,944,142
1aecb7940a63,Design rationale,8,title_pdf_passage,1096,160
1aecb7940a63,Design rationale,9,title_pdf_passage,547,75
1aecb7940a63,Design rationale,10,title_pdf_passage,853,118
1aecb7940a63,Design rationale,11,title_pdf_passage,1217,182
1aecb7940a63,Design rationale,12,title_pdf_passage,654,92
1d3cca16fcd2,Design knowledge,0,title_abstract,1008,149
1d3cca16fcd2,Design knowledge,1,title_pdf_passage,1007,144
1d3cca16fcd2,Design knowledge,2,title_pdf_passage,967,140
1d3cca16fcd2,Design knowledge,3,title_pdf_passage,1068,154
1d3cca16fcd2,Design knowledge,4,title_pdf_passage,935,148
1d3cca16fcd2,Design knowledge,5,title_pdf_passage,1023,156
1d3cca16fcd2,Design knowledge,6,title_pdf_passage,1031,153
1d3cca16fcd2,Design knowledge,7,title_pdf_passage,460,74
1d3cca16fcd2,Design knowledge,8,title_pdf_passage,478,73
1d3cca16fcd2,Design knowledge,9,title_pdf_passage,1033,137
1d3cca16fcd2,Design knowledge,10,title_pdf_passage,1239,172
1d3cca16fcd2,Design knowledge,11,title_pdf_passage,1363,197
1d3cca16fcd2,Design knowledge,12,title_pdf_passage,878,131
1d529e097d58,Design knowledge,0,title_abstract,753,110
1d529e097d58,Design knowledge,1,title_pdf_passage,1153,161
1d529e097d58,Design knowledge,2,title_pdf_passage,1073,154
1d529e097d58,Design knowledge,3,title_pdf_passage,936,132
1d529e097d58,Design knowledge,4,title_pdf_passage,1297,193
1d529e097d58,Design knowledge,5,title_pdf_passage,929,141
1d529e097d58,Design knowledge,6,title_pdf_passage,802,112
1d529e097d58,Design knowledge,7,title_pdf_passage,441,67
1d529e097d58,Design knowledge,8,title_pdf_passage,979,138
1d529e097d58,Design knowledge,9,title_pdf_passage,1000,142
1d529e097d58,Design knowledge,10,title_pdf_passage,932,137
1d529e097d58,Design knowledge,11,title_pdf_passage,1001,140
1d529e097d58,Design knowledge,12,title_pdf_passage,944,147
1fec06501110,Design Patterns,0,title_abstract,1867,243
1fec06501110,Design Patterns,1,title_pdf_passage,1188,154
1fec06501110,Design Patterns,2,title_pdf_passage,981,130
1fec06501110,Design Patterns,3,title_pdf_passage,935,122
1fec06501110,Design Patterns,4,title_pdf_passage,1085,131
1fec06501110,Design Patterns,5,title_pdf_passage,1019,141
1fec06501110,Design Patterns,6,title_pdf_passage,888,128
1fec06501110,Design Patterns,7,title_pdf_passage,742,107
1fec06501110,Design Patterns,8,title_pdf_passage,365,48
1fec06501110,Design Patterns,9,title_pdf_passage,901,127
1fec06501110,Design Patterns,10,title_pdf_passage,938,133
1fec06501110,Design Patterns,11,title_pdf_passage,948,129
1fec06501110,Design Patterns,12,title_pdf_passage,1212,158
2085391360fa,Design Heuristics,0,title_abstract,1236,186
2085391360fa,Design Heuristics,1,title_pdf_passage,689,95
2085391360fa,Design Heuristics,2,title_pdf_passage,926,137
2085391360fa,Design Heuristics,3,title_pdf_passage,803,122
2085391360fa,Design Heuristics,4,title_pdf_passage,944,127
2085391360fa,Design Heuristics,5,title_pdf_passage,1011,156
2085391360fa,Design Heuristics,6,title_pdf_passage,954,144
2085391360fa,Design Heuristics,7,title_pdf_passage,926,146
2085391360fa,Design Heuristics,8,title_pdf_passage,906,134
2085391360fa,Design Heuristics,9,title_pdf_passage,959,157
2085391360fa,Design Heuristics,10,title_pdf_passage,974,144
2085391360fa,Design Heuristics,11,title_pdf_passage,893,138
2085391360fa,Design Heuristics,12,title_pdf_passage,777,129
22988d4cc335,Design knowledge,0,title_abstract,1130,160
22988d4cc335,Design knowledge,1,title_pdf_passage,774,88
22988d4cc335,Design knowledge,2,title_pdf_passage,954,132
22988d4cc335,Design knowledge,3,title_pdf_passage,1044,144
22988d4cc335,Design knowledge,4,title_pdf_passage,995,136
22988d4cc335,Design knowledge,5,title_pdf_passage,1110,157
22988d4cc335,Design knowledge,6,title_pdf_passage,1066,149
22988d4cc335,Design knowledge,7,title_pdf_passage,1153,159
22988d4cc335,Design knowledge,8,title_pdf_passage,466,62
22988d4cc335,Design knowledge,9,title_pdf_passage,505,72
22988d4cc335,Design knowledge,10,title_pdf_passage,1128,165
22988d4cc335,Design knowledge,11,title_pdf_passage,991,136
22988d4cc335,Design knowledge,12,title_pdf_passage,1014,137
