paper_id,pdf_filename,copy_status,keyword,title,doi,year,venue,audit_status,title_token_overlap,title_token_coverage
af4a4237d98a,af4a4237d98a.pdf,copied,Design knowledge,Utilization of design principles for hybrid learning configurations by interprofessional design teams,,2017.0,,likely_match,0.096,1.0
94bc88b88ae6,94bc88b88ae6.pdf,copied,Design knowledge,Design knowledge in the artistic–aesthetic development and transformation of the world,,2019.0,MATEC Web of Conferences,likely_match,0.065,1.0
53adec5acee6,53adec5acee6.pdf,copied,Design knowledge,Mapping design knowledge: 36 years of Design Studies,,2016.0,,likely_match,0.024,1.0
29a8891f4c02,29a8891f4c02.pdf,copied,Design knowledge,The Need for Design Cases: Disseminating Design Knowledge,,2010.0,,likely_match,0.038,1.0
00e42ae113b8,00e42ae113b8.pdf,copied,Design knowledge,Utilization of design principles for hybrid learning configurations by interprofessional design teams,,2016.0,Instructional Science,likely_match,0.096,1.0
95c2b3d44aff,95c2b3d44aff.pdf,copied,Design methods,Multiple forms of applications and impacts of a design theory -ten years of industrial applications of C-K theory,,2016.0,,likely_match,0.093,1.0
1416cd2b88de,1416cd2b88de.pdf,copied,Design methods,Cross-disciplinary system value overview towards value-oriented design,,2023.0,Research in Engineering Design,likely_match,0.062,1.0
49d75437fd07,49d75437fd07.pdf,copied,Design Patterns,A Framework for Design Patterns in TROPOS,,2003.0,Brazilian Symposium on Software Engineering,likely_match,0.023,1.0
beaf258777e6,beaf258777e6.pdf,copied,Design theory,What is the value of design theory?,,2025.0,Proceedings of the Design Society,likely_match,0.023,1.0
5b3b013c191d,5b3b013c191d.pdf,copied,Design theory,Towards a unified terminology for sonification and visualization,,2023.0,Personal and Ubiquitous Computing,likely_match,0.048,1.0
