paper_id,pdf_filename,keyword,title
85c3a6761bcc,85c3a6761bcc.pdf,Design theory,Designing Process Guidance Systems
866d8935b9e0,866d8935b9e0.pdf,Design rationale,"Issues critical to the development of design history, design rationale and design intent systems"
892ad7622adf,892ad7622adf.pdf,Design Rules,"Modularity Design Rules for Architecture Development: Theory, Implementation, and Evidence from the Development of the Renault–Nissan Alliance “Common Module Family” Architecture"
8f065cfd18a4,8f065cfd18a4.pdf,Design knowledge,Pattern language: A framework for learning
9020aa145571,9020aa145571.pdf,Design Guidelines,A Process Framework for Designing Software Reference Architectures for Providing Tools as a Service
9049c4d2bbec,9049c4d2bbec.pdf,Design theory,Towards a design theory of blended learning curriculum
92fd41483399,92fd41483399.pdf,Design theory,Design exemplars for synchronous e-learning: A design theory approach
93bb03ac03b6,93bb03ac03b6.pdf,Design principles,Design principles for data analysis
9d158233f041,9d158233f041.pdf,Design knowledge,Guidelines supporting the formulation of design principles
9eda131748eb,9eda131748eb.pdf,Design knowledge,Engineering Design Principles for HCI as a Way Forward for HCI Design Knowledge
a0d1057f0acb,a0d1057f0acb.pdf,Design Patterns,Pattern approach to interaction design
a285258b5545,a285258b5545.pdf,Design theory,Extended general design theory. I. Compactification of concept space
a883ec94b37a,a883ec94b37a.pdf,Design knowledge,Causal design knowledge: Alternative representation method for product development knowledge management
ade4419d3095,ade4419d3095.pdf,Design Patterns,Hybrid modeling design patterns
af66a447ca7c,af66a447ca7c.pdf,Design theory,Digital Panopticon: How Remote Work Monitoring Shapes Employee Behavior and Motivation
b0fe7e080516,b0fe7e080516.pdf,Design knowledge,Design knowledge representation: An ontological perspective
b256aafa902e,b256aafa902e.pdf,Design knowledge,A Multi-Grounded Design Research Process
b5d968168f35,b5d968168f35.pdf,Design methods,A Framework of Design Method Corroboration
b967c3a334ff,b967c3a334ff.pdf,Design Patterns,Industrial experience with design patterns
bee7b59885fa,bee7b59885fa.pdf,Design methods,Adapting the FBS Model of Designing for Usage-Driven Innovation Processes
c0372ed4d123,c0372ed4d123.pdf,Design theory,Web-based information systems: Developing a design theory
c058d036363a,c058d036363a.pdf,Design knowledge,What designers know
c2c57ac5453e,c2c57ac5453e.pdf,Design theory,"Theory construction in design research. Criteria, approaches, and methods."
c3005cf4cf75,c3005cf4cf75.pdf,Design theory,Design as interactions of problem framing and problem solving
c6955d14d66c,c6955d14d66c.pdf,Design Heuristics,Dialogue appropriate to assistive technology product design: A taxonomy of communication formats in relation to modes of sensory perception
c7afdd089fdd,c7afdd089fdd.pdf,Design Patterns,Toward patterns for collaborative knowledge creation
cb7daae2b94f,cb7daae2b94f.pdf,Design Guidelines,User Experience Design in Professional Map-Based Geo-Portals
cc5e9fe45cc6,cc5e9fe45cc6.pdf,Design knowledge,A study of practice based design research models from knowledge integration perspective
cd211147691a,cd211147691a.pdf,Design Heuristics,Design heuristics set for X: A design aid for assistive product concept generation
cdd6de21b74b,cdd6de21b74b.pdf,Design Heuristics,Evidence-based design heuristics for idea generation
cf2ee8097a06,cf2ee8097a06.pdf,Design Rules,"Design Rules, Volume 2: Chapter 4—The Mirroring Hypothesis: Linkages Inside and Across Transaction Free Zones"
d0a17557440f,d0a17557440f.pdf,Design Guidelines,Avoiding virtual dystopia: A design theory for emancipatory participatory immersive platforms
d250dc6eb9d9,d250dc6eb9d9.pdf,Design theory,Systems Thinking and Design Thinking: The Search for Principles in the World We Are Making
d56cd856926c,d56cd856926c.pdf,Design Patterns,Pedagogical patterns: picking up the design patterns approach
d5d39efbe945,d5d39efbe945.pdf,Design rationale,Method rationale in method engineering
da5dd15cd345,da5dd15cd345.pdf,Design Patterns,A functional theory of design patterns
